"street,city,zip,state,beds,baths,price"
"227 MAHAN CT Unit 1,ROSEVILLE,95678,CA,2,1,127000"
"7349 FLETCHER FARM DR,SACRAMENTO,95828,CA,4,2,127500"
"7226 LARCHMONT DR,NORTH HIGHLANDS,95660,CA,3,2,130000"
"4114 35TH AVE,SACRAMENTO,95824,CA,2,1,133105"
"617 M ST,RIO LINDA,95673,CA,2,2,136500"
"7032 FAIR OAKS BLVD,CARMICHAEL,95608,CA,3,2,139500"
"2421 SANTINA WAY,ELVERTA,95626,CA,3,2,140000"
"2368 CRAIG AVE,SACRAMENTO,95832,CA,3,2,140800"
"2123 AMANDA WAY,SACRAMENTO,95822,CA,3,2,145000"
"7620 DARLA WAY,SACRAMENTO,95828,CA,4,2,147000"
"8344 FIELDPOPPY CIR,SACRAMENTO,95828,CA,3,2,149600"
"3624 20TH AVE,SACRAMENTO,95820,CA,5,2,150000"
"10001 WOODCREEK OAKS BLVD Unit 1415,ROSEVILLE,95747,CA,2,2,150000"
"2848 PROVO WAY,SACRAMENTO,95822,CA,3,2,150000"
"6045 EHRHARDT AVE,SACRAMENTO,95823,CA,3,2,155000"
"1223 LAMBERTON CIR,SACRAMENTO,95838,CA,3,2,155435"
"1223 LAMBERTON CIR,SACRAMENTO,95838,CA,3,2,155500"
"6000 BIRCHGLADE WAY,CITRUS HEIGHTS,95621,CA,4,2,158000"
"7204 THOMAS DR,NORTH HIGHLANDS,95660,CA,3,2,158000"
"8363 LANGTREE WAY,SACRAMENTO,95823,CA,3,2,160000"
"1675 VERNON ST Unit 8,ROSEVILLE,95678,CA,2,1,160000"
"6632 IBEX WOODS CT,CITRUS HEIGHTS,95621,CA,2,2,164000"
"117 EVCAR WAY,RIO LINDA,95673,CA,3,2,164000"
"6485 LAGUNA MIRAGE LN,ELK GROVE,95758,CA,2,2,165000"
"746 MOOSE CREEK WAY,GALT,95632,CA,3,2,167000"
"8306 CURLEW CT,CITRUS HEIGHTS,95621,CA,4,2,167293"
"8306 CURLEW CT,CITRUS HEIGHTS,95621,CA,4,2,167293"
"5217 ARGO WAY,SACRAMENTO,95820,CA,3,1,168000"
"7108 HEATHER TREE DR,SACRAMENTO,95842,CA,3,2,170000"
"2956 DAVENPORT WAY,SACRAMENTO,95833,CA,4,2,170000"
"10062 LINCOLN VILLAGE DR,SACRAMENTO,95827,CA,3,2,170000"
"332 PALIN AVE,GALT,95632,CA,3,2,174000"
"4649 FREEWAY CIR,SACRAMENTO,95841,CA,3,2,178000"
"8593 DERLIN WAY,SACRAMENTO,95823,CA,3,2,180000"
"9273 PREMIER WAY,SACRAMENTO,95826,CA,3,2,180000"
"8032 DUSENBERG CT,SACRAMENTO,95828,CA,4,2,180000"
"7110 STELLA LN Unit 15,CARMICHAEL,95608,CA,2,2,182000"
"1786 PIEDMONT WAY,ROSEVILLE,95661,CA,3,1,188325"
"1347 HIDALGO CIR,ROSEVILLE,95747,CA,3,2,191500"
"212 CAPPUCINO WAY,SACRAMENTO,95838,CA,3,2,192000"
"5938 WOODBRIAR WAY,CITRUS HEIGHTS,95621,CA,3,2,192700"
"3801 WILDROSE WAY,SACRAMENTO,95826,CA,3,1,195000"
"508 SAMUEL WAY,SACRAMENTO,95838,CA,3,2,197654"
"6128 CARL SANDBURG CIR,SACRAMENTO,95842,CA,3,1,198000"
"1 KENNELFORD CIR,SACRAMENTO,95823,CA,3,2,200345"
"909 SINGINGWOOD RD,SACRAMENTO,95864,CA,2,1,203000"
"6671 FOXWOOD CT,SACRAMENTO,95841,CA,4,2,207000"
"8165 AYN RAND CT,SACRAMENTO,95828,CA,4,3,208000"
"9474 VILLAGE TREE DR,ELK GROVE,95758,CA,4,2,210000"
"7213 CALVIN DR,CITRUS HEIGHTS,95621,CA,3,1,212000"
"8167 DERBY PARK CT,SACRAMENTO,95828,CA,4,2,213675"
"6344 LAGUNA MIRAGE LN,ELK GROVE,95758,CA,2,2,213697"
"2945 RED HAWK WAY,SACRAMENTO,95833,CA,4,2,215000"
"3228 I ST,SACRAMENTO,95816,CA,4,3,215000"
"308 ATKINSON ST,ROSEVILLE,95678,CA,3,1,215100"
"624 HOVEY WAY,ROSEVILLE,95678,CA,3,2,217500"
"110 COPPER LEAF WAY,SACRAMENTO,95838,CA,3,2,218000"
"7535 ALMA VISTA WAY,SACRAMENTO,95831,CA,2,1,220000"
"7423 WILSALL CT,ELK GROVE,95758,CA,4,3,221000"
"8629 VIA ALTA WAY,ELK GROVE,95624,CA,3,2,222900"
"3318 DAVIDSON DR,ANTELOPE,95843,CA,3,1,223139"
"913 COBDEN CT,GALT,95632,CA,4,2,225500"
"4419 79TH ST,SACRAMENTO,95820,CA,3,2,228327"
"3012 SPOONWOOD WAY,SACRAMENTO,95833,CA,4,2,230000"
"8728 CRYSTAL RIVER WAY,SACRAMENTO,95828,CA,3,2,230000"
"4709 AMBER LN Unit 1,SACRAMENTO,95841,CA,2,1,230522"
"4508 OLD DAIRY DR,ANTELOPE,95843,CA,4,3,231200"
"312 RIVER ISLE WAY,SACRAMENTO,95831,CA,3,2,232000"
"301 OLIVADI WAY,SACRAMENTO,95834,CA,2,2,232500"
"5636 25TH ST,SACRAMENTO,95822,CA,3,1,233641"
"8721 SPRUCE RIDGE WAY,ANTELOPE,95843,CA,3,2,234000"
"7461 WINDBRIDGE DR,SACRAMENTO,95831,CA,2,2,234500"
"8101 LEMON COVE CT,SACRAMENTO,95828,CA,4,3,235000"
"10949 SCOTSMAN WAY,RANCHO CORDOVA,95670,CA,5,4,236000"
"617 WILLOW CREEK DR,FOLSOM,95630,CA,3,2,236073"
"3301 PARK DR Unit 1914,SACRAMENTO,95835,CA,3,2,238000"
"709 CIMMARON CT,GALT,95632,CA,4,2,238861"
"3305 RIO ROCA CT,ANTELOPE,95843,CA,4,3,239700"
"9080 BEDROCK CT,SACRAMENTO,95829,CA,4,2,240000"
"100 TOURMALINE CIR,SACRAMENTO,95834,CA,5,3,240000"
"6411 RED BIRCH WAY,ELK GROVE,95758,CA,4,2,241000"
"4867 LAGUNA DR,SACRAMENTO,95823,CA,3,2,245000"
"3662 RIVER DR,SACRAMENTO,95833,CA,4,3,246000"
"6943 WOLFGRAM WAY,SACRAMENTO,95828,CA,4,2,247234"
"77 RINETTI WAY,RIO LINDA,95673,CA,4,2,247480"
"1316 I ST,RIO LINDA,95673,CA,3,1,249862"
"2130 CATHERWOOD WAY,SACRAMENTO,95835,CA,3,2,251000"
"8304 JUGLANS DR,ORANGEVALE,95662,CA,4,2,252155"
"5308 MARBURY WAY,ANTELOPE,95843,CA,3,2,254172"
"9182 LAKEMONT DR,ELK GROVE,95624,CA,4,2,258000"
"2231 COUNTRY VILLA CT,AUBURN,95603,CA,2,2,260000"
"8491 CRYSTAL WALK CIR,ELK GROVE,95758,CA,0,0,261000"
"361 MAHONIA CIR,SACRAMENTO,95835,CA,4,3,261000"
"3427 LA CADENA WAY,SACRAMENTO,95835,CA,4,2,261000"
"955 BIG SUR CT,EL DORADO HILLS,95762,CA,4,2,262500"
"11826 DIONYSUS WAY,RANCHO CORDOVA,95742,CA,4,2,266000"
"5847 DEL CAMPO LN,CARMICHAEL,95608,CA,3,1,266000"
"5635 FOXVIEW WAY,ELK GROVE,95757,CA,3,2,270000"
"10372 VIA CINTA CT,ELK GROVE,95757,CA,4,3,274425"
"6286 LONETREE BLVD,ROCKLIN,95765,CA,0,0,274500"
"7744 SOUTHBREEZE DR,SACRAMENTO,95828,CA,3,2,275336"
"2242 ABLE WAY,SACRAMENTO,95835,CA,4,3,277980"
"1042 STARBROOK DR,GALT,95632,CA,4,2,280000"
"1219 G ST,SACRAMENTO,95814,CA,3,3,284686"
"6220 OPUS CT,CITRUS HEIGHTS,95621,CA,3,2,284893"
"5419 HAVENHURST CIR,ROCKLIN,95677,CA,3,2,285000"
"220 OLD AIRPORT RD,AUBURN,95603,CA,2,2,285000"
"4622 MEYER WAY,CARMICHAEL,95608,CA,4,2,285000"
"4885 SUMMIT VIEW DR,EL DORADO,95623,CA,3,2,289000"
"26 JEANROSS CT,SACRAMENTO,95832,CA,5,3,295000"
"4800 MAPLEPLAIN AVE,ELK GROVE,95758,CA,4,2,296000"
"10629 BASIE WAY,RANCHO CORDOVA,95670,CA,4,2,296056"
"8612 WILLOW GROVE WAY,SACRAMENTO,95828,CA,3,2,297359"
"62 DE FER CIR,SACRAMENTO,95823,CA,4,2,299940"
"2513 OLD KENMARE RD,LINCOLN,95648,CA,5,3,304000"
"3253 ABOTO WAY,RANCHO CORDOVA,95670,CA,4,3,305000"
"3072 VILLAGE PLAZA DR,ROSEVILLE,95747,CA,0,0,307000"
"251 CHANGO CIR,SACRAMENTO,95835,CA,4,2,311328"
"8205 WEYBURN CT,SACRAMENTO,95828,CA,3,2,313138"
"8788 LA MARGARITA WAY,SACRAMENTO,95828,CA,3,2,316630"
"5912 DEEPDALE WAY,ELK GROVE,95758,CA,5,3,320000"
"4712 PISMO BEACH DR,ANTELOPE,95843,CA,5,3,320000"
"4741 PACIFIC PARK DR,ANTELOPE,95843,CA,5,3,325000"
"310 GROTH CIR,SACRAMENTO,95834,CA,4,2,328578"
"6121 WILD FOX CT,ELK GROVE,95757,CA,3,3,331000"
"12241 CANYONLANDS DR,RANCHO CORDOVA,95742,CA,0,0,331500"
"29 COOL FOUNTAIN CT,SACRAMENTO,95833,CA,4,2,340000"
"907 RIO ROBLES AVE,SACRAMENTO,95838,CA,0,0,344755"
"8909 BILLFISH WAY,SACRAMENTO,95828,CA,3,2,345746"
"6232 GUS WAY,ELK GROVE,95757,CA,4,2,351000"
"200 OAKWILDE ST,GALT,95632,CA,4,2,353767"
"1033 PARK STREAM DR,GALT,95632,CA,0,0,355000"
"200 ALLAIRE CIR,SACRAMENTO,95835,CA,4,2,356035"
"1322 SUTTER WALK,SACRAMENTO,95816,CA,0,0,360000"
"5479 NICKMAN WAY,SACRAMENTO,95835,CA,4,2,360552"
"2103 BURBERRY WAY,SACRAMENTO,95835,CA,3,2,362305"
"2450 SAN JOSE WAY,SACRAMENTO,95817,CA,3,1,365000"
"7641 ROSEHALL DR,ROSEVILLE,95678,CA,3,2,367554"
"1336 LAYSAN TEAL DR,ROSEVILLE,95747,CA,0,0,368500"
"2802 BLACK OAK DR,ROCKLIN,95765,CA,2,2,370000"
"2113 FALL TRAIL CT,PLACERVILLE,95667,CA,4,2,371086"
"10112 LAMBEAU CT,ELK GROVE,95757,CA,3,2,378000"
"6313 CASTRO VERDE WAY,ELK GROVE,95757,CA,0,0,383000"
"3622 CURTIS DR,SACRAMENTO,95818,CA,3,1,388000"
"11817 OPAL RIDGE WAY,RANCHO CORDOVA,95742,CA,5,3,395100"
"170 LAGOMARSINO WAY,SACRAMENTO,95819,CA,3,2,400000"
"2743 DEAKIN PL,EL DORADO HILLS,95762,CA,3,2,400000"
"3361 ALDER CANYON WAY,ANTELOPE,95843,CA,4,3,408431"
"2148 RANCH VIEW DR,ROCKLIN,95765,CA,0,0,413000"
"398 LINDLEY DR,SACRAMENTO,95815,CA,4,2,416767"
"3013 BRIDLEWOOD DR,EL DORADO HILLS,95762,CA,4,3,420000"
"169 BAURER CIR,FOLSOM,95630,CA,4,3,423000"
"2809 LOON CT,CAMERON PARK,95682,CA,4,2,423000"
"1315 KONDOS AVE,SACRAMENTO,95814,CA,2,3,427500"
"4966 CHARTER RD,ROCKLIN,95765,CA,3,2,430922"
"9516 LAGUNA LAKE WAY,ELK GROVE,95758,CA,4,2,445000"
"5201 BLOSSOM RANCH DR,ELK GROVE,95757,CA,4,4,450000"
"3027 PALMATE WAY,SACRAMENTO,95834,CA,5,3,452000"
"500 WINCHESTER CT,ROSEVILLE,95661,CA,3,2,470000"
"5746 GELSTON WAY,EL DORADO HILLS,95762,CA,4,3,471000"
"6935 ELM TREE LN,ORANGEVALE,95662,CA,4,4,475000"
"9605 GOLF COURSE LN,ELK GROVE,95758,CA,3,3,484500"
"719 BAYWOOD CT,EL DORADO HILLS,95762,CA,5,3,487500"
"5954 TANUS CIR,ROCKLIN,95677,CA,3,3,488750"
"100 CHELSEA CT,FOLSOM,95630,CA,3,2,500000"
"1500 ORANGE HILL LN,PENRYN,95663,CA,3,2,506688"
"408 KIRKWOOD CT,LINCOLN,95648,CA,2,2,512000"
"1732 TUSCAN GROVE CIR,ROSEVILLE,95747,CA,5,3,520000"
"2049 EMPIRE MINE CIR,GOLD RIVER,95670,CA,4,2,528000"
"9360 MAGOS RD,WILTON,95693,CA,5,2,579093"
"104 CATLIN CT,FOLSOM,95630,CA,4,3,636000"
"4734 GIBBONS DR,CARMICHAEL,95608,CA,4,3,668365"
"4629 DORCHESTER LN,GRANITE BAY,95746,CA,5,3,676200"
"2400 COUNTRYSIDE DR,PLACERVILLE,95667,CA,3,2,677048"
"12901 FURLONG DR,WILTON,95693,CA,5,3,691659"
"6222 CALLE MONTALVO CIR,GRANITE BAY,95746,CA,5,3,760000"
"20 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"24 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"28 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"32 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"36 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"40 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"44 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"48 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"52 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"68 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"72 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"76 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"80 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"84 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"88 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"92 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"96 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"100 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"434 1ST ST,LINCOLN,95648,CA,0,0,4897"
"3 E ST,LINCOLN,95648,CA,0,0,4897"
"11 E ST,LINCOLN,95648,CA,0,0,4897"
"19 E ST,LINCOLN,95648,CA,0,0,4897"
"27 E ST,LINCOLN,95648,CA,0,0,4897"
"35 E ST,LINCOLN,95648,CA,0,0,4897"
"43 E ST,LINCOLN,95648,CA,0,0,4897"
"51 E ST,LINCOLN,95648,CA,4,2,4897"
"59 E ST,LINCOLN,95648,CA,3,2,4897"
"75 E ST,LINCOLN,95648,CA,3,2,4897"
"63 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"398 1ST ST,LINCOLN,95648,CA,0,0,4897"
"386 1ST ST,LINCOLN,95648,CA,0,0,4897"
"374 1ST ST,LINCOLN,95648,CA,0,0,4897"
"116 CRYSTALWOOD WAY,LINCOLN,95648,CA,0,0,4897"
"108 CRYSTALWOOD WAY,LINCOLN,95648,CA,0,0,4897"
"100 CRYSTALWOOD WAY,LINCOLN,95648,CA,0,0,4897"
"55 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"51 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"47 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"43 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"39 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"35 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"31 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"27 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"23 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"19 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"15 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"7 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"7 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"3 CRYSTALWOOD CIR,LINCOLN,95648,CA,0,0,4897"
"8208 WOODYARD WAY,CITRUS HEIGHTS,95621,CA,3,2,30000"
"113 RINETTI WAY,RIO LINDA,95673,CA,0,0,30000"
"15 LOORZ CT,SACRAMENTO,95823,CA,2,1,55422"
"5805 DOTMAR WAY,NORTH HIGHLANDS,95660,CA,2,1,63000"
"2332 CAMBRIDGE ST,SACRAMENTO,95815,CA,2,1,65000"
"3812 BELDEN ST,SACRAMENTO,95838,CA,2,1,65000"
"3348 40TH ST,SACRAMENTO,95817,CA,2,1,65000"
"127 QUASAR CIR,SACRAMENTO,95822,CA,2,2,66500"
"3812 CYPRESS ST,SACRAMENTO,95838,CA,2,1,71000"
"5821 64TH ST,SACRAMENTO,95824,CA,2,1,75000"
"8248 CENTER PKWY,SACRAMENTO,95823,CA,2,1,77000"
"1171 SONOMA AVE,SACRAMENTO,95815,CA,2,1,85000"
"4250 ARDWELL WAY,SACRAMENTO,95823,CA,3,2,95625"
"3104 CLAY ST,SACRAMENTO,95815,CA,2,1,96140"
"6063 LAND PARK DR,SACRAMENTO,95822,CA,2,1,104250"
"4738 OAKHOLLOW DR,SACRAMENTO,95842,CA,4,2,105000"
"1401 STERLING ST,SACRAMENTO,95822,CA,2,1,108000"
"3715 DIDCOT CIR,SACRAMENTO,95838,CA,4,2,109000"
"2426 RASHAWN DR,RANCHO CORDOVA,95670,CA,2,1,115000"
"4800 WESTLAKE PKWY Unit 410,SACRAMENTO,95835,CA,1,1,115000"
"3409 VIRGO ST,SACRAMENTO,95827,CA,3,2,115500"
"1110 PINEDALE AVE,SACRAMENTO,95838,CA,3,2,115620"
"2361 LA LOMA DR,RANCHO CORDOVA,95670,CA,3,2,116000"
"1455 64TH AVE,SACRAMENTO,95822,CA,3,2,122000"
"7328 SPRINGMAN ST,SACRAMENTO,95822,CA,3,2,122500"
"119 SAINT MARIE CIR,SACRAMENTO,95823,CA,4,2,123000"
"12 COSTA BRASE CT,SACRAMENTO,95838,CA,3,2,124000"
"6813 SCOTER WAY,SACRAMENTO,95842,CA,4,2,124000"
"6548 GRAYLOCK LN,NORTH HIGHLANDS,95660,CA,3,2,124413"
"1630 GLIDDEN AVE,SACRAMENTO,95822,CA,4,2,125000"
"7825 DALEWOODS WAY,SACRAMENTO,95828,CA,3,2,130000"
"4073 TRESLER AVE,NORTH HIGHLANDS,95660,CA,2,2,131750"
"4288 DYMIC WAY,SACRAMENTO,95838,CA,4,3,137721"
"1158 SAN IGNACIO WAY,SACRAMENTO,95833,CA,3,2,137760"
"4904 J PKWY,SACRAMENTO,95823,CA,3,2,138000"
"2931 HOWE AVE,SACRAMENTO,95821,CA,3,1,140000"
"5531 JANSEN DR,SACRAMENTO,95824,CA,3,1,145000"
"7836 ORCHARD WOODS CIR,SACRAMENTO,95828,CA,2,2,145000"
"4055 DEERBROOK DR,SACRAMENTO,95823,CA,3,2,150000"
"9937 BURLINE ST,SACRAMENTO,95827,CA,3,2,150000"
"6948 MIRADOR WAY,SACRAMENTO,95828,CA,4,2,151000"
"4909 RUGER CT,SACRAMENTO,95842,CA,3,2,155000"
"7204 KERSTEN ST,CITRUS HEIGHTS,95621,CA,3,2,155800"
"3150 ROSEMONT DR,SACRAMENTO,95826,CA,3,2,156142"
"8200 STEINBECK WAY,SACRAMENTO,95828,CA,4,2,158000"
"8198 STEVENSON AVE,SACRAMENTO,95828,CA,6,4,159900"
"6824 OLIVE TREE WAY,CITRUS HEIGHTS,95610,CA,3,2,160000"
"3536 SUN MAIDEN WAY,ANTELOPE,95843,CA,3,2,161500"
"4517 OLYMPIAD WAY,SACRAMENTO,95826,CA,4,2,161600"
"925 COBDEN CT,GALT,95632,CA,3,2,162000"
"8225 SCOTTSDALE DR,SACRAMENTO,95828,CA,4,2,165000"
"8758 LEMAS RD,SACRAMENTO,95828,CA,3,2,165000"
"6121 ALPINESPRING WAY,ELK GROVE,95758,CA,3,2,167293"
"5937 YORK GLEN WAY,SACRAMENTO,95842,CA,5,2,168000"
"6417 SUNNYFIELD WAY,SACRAMENTO,95823,CA,4,2,168000"
"4008 GREY LIVERY WAY,ANTELOPE,95843,CA,3,2,168750"
"8920 ROSETTA CIR,SACRAMENTO,95826,CA,3,1,168750"
"8300 LICHEN DR,CITRUS HEIGHTS,95621,CA,3,1,170000"
"8884 AMBERJACK WAY,SACRAMENTO,95828,CA,3,2,170250"
"4480 VALLEY HI DR,SACRAMENTO,95823,CA,3,2,173000"
"2250 FOREBAY RD,POLLOCK PINES,95726,CA,3,1,175000"
"3529 FABERGE WAY,SACRAMENTO,95826,CA,3,2,176095"
"1792 DAWNELLE WAY,SACRAMENTO,95835,CA,3,2,176250"
"7800 TABARE CT,CITRUS HEIGHTS,95621,CA,3,2,178000"
"8531 HERMITAGE WAY,SACRAMENTO,95823,CA,4,2,179000"
"2421 BERRYWOOD DR,RANCHO CORDOVA,95670,CA,3,2,180000"
"1005 MORENO WAY,SACRAMENTO,95838,CA,3,2,180000"
"1675 VERNON ST Unit 24,ROSEVILLE,95678,CA,3,2,180000"
"24 WINDCHIME CT,SACRAMENTO,95823,CA,3,2,181000"
"540 HARLING CT,RIO LINDA,95673,CA,3,2,182000"
"1207 CRESCENDO DR,ROSEVILLE,95678,CA,3,2,182587"
"7577 EDDYLEE WAY,SACRAMENTO,95822,CA,4,2,185074"
"8369 FOPPIANO WAY,SACRAMENTO,95829,CA,3,2,185833"
"8817 SAWTELLE WAY,SACRAMENTO,95826,CA,4,2,186785"
"1910 BONAVISTA WAY,SACRAMENTO,95832,CA,3,2,187000"
"8 TIDE CT,SACRAMENTO,95833,CA,3,2,188335"
"8952 ROCKY CREEK CT,ELK GROVE,95758,CA,3,2,190000"
"435 EXCHANGE ST,SACRAMENTO,95838,CA,3,1,190000"
"10105 MONTE VALLO CT,SACRAMENTO,95827,CA,4,2,190000"
"3930 ANNABELLE AVE,ROSEVILLE,95661,CA,2,1,190000"
"4854 TANGERINE AVE,SACRAMENTO,95823,CA,3,2,191250"
"2909 SHAWN WAY,RANCHO CORDOVA,95670,CA,3,2,193000"
"4290 BLACKFORD WAY,SACRAMENTO,95823,CA,3,2,193500"
"5890 TT TRAK,FORESTHILL,95631,CA,0,0,194818"
"7015 WOODSIDE DR,SACRAMENTO,95842,CA,4,2,195000"
"6019 CHESHIRE WAY,CITRUS HEIGHTS,95610,CA,4,3,195000"
"3330 VILLAGE CT,CAMERON PARK,95682,CA,2,2,195000"
"2561 VERNA WAY,SACRAMENTO,95821,CA,3,1,195000"
"3522 22ND AVE,SACRAMENTO,95820,CA,3,1,198000"
"2880 CANDIDO DR,SACRAMENTO,95833,CA,3,2,199900"
"6908 PIN OAK CT,FAIR OAKS,95628,CA,3,1,200000"
"5733 ANGELINA AVE,CARMICHAEL,95608,CA,3,1,201000"
"7849 BONNY DOWNS WAY,ELK GROVE,95758,CA,4,2,204918"
"8716 LONGSPUR WAY,ANTELOPE,95843,CA,3,2,205000"
"6320 EL DORADO ST,EL DORADO,95623,CA,2,1,205000"
"2328 DOROTHY JUNE WAY,SACRAMENTO,95838,CA,3,2,205878"
"1986 DANVERS WAY,SACRAMENTO,95832,CA,4,2,207000"
"7901 GAZELLE TRAIL WAY,ANTELOPE,95843,CA,4,2,207744"
"6080 BRIDGECROSS DR,SACRAMENTO,95835,CA,3,2,209000"
"20 GROTH CIR,SACRAMENTO,95834,CA,3,2,210000"
"1900 DANBROOK DR,SACRAMENTO,95835,CA,1,1,210944"
"140 VENTO CT,ROSEVILLE,95678,CA,3,2,212500"
"8442 KEUSMAN ST,ELK GROVE,95758,CA,4,2,213750"
"9552 SUNLIGHT LN,ELK GROVE,95758,CA,3,2,215000"
"2733 YUMA CT,CAMERON PARK,95682,CA,2,2,215000"
"1407 TIFFANY CIR,ROSEVILLE,95661,CA,4,1,215000"
"636 CRESTVIEW DR,DIAMOND SPRINGS,95619,CA,3,2,216033"
"1528 HESKET WAY,SACRAMENTO,95825,CA,4,2,220000"
"2327 32ND ST,SACRAMENTO,95817,CA,2,1,220000"
"1833 2ND AVE,SACRAMENTO,95818,CA,2,1,220000"
"7252 CARRIAGE DR,CITRUS HEIGHTS,95621,CA,4,2,220000"
"9815 PASO FINO WAY,ELK GROVE,95757,CA,3,2,220000"
"5532 ENGLE RD,CARMICHAEL,95608,CA,2,2,220702"
"1139 CLINTON RD,SACRAMENTO,95825,CA,4,2,221250"
"9176 SAGE GLEN WAY,ELK GROVE,95758,CA,3,2,222000"
"9967 HATHERTON WAY,ELK GROVE,95757,CA,0,0,222500"
"9264 BOULDER RIVER WAY,ELK GROVE,95624,CA,5,2,222750"
"320 GROTH CIR,SACRAMENTO,95834,CA,3,2,225000"
"137 GUNNISON AVE,SACRAMENTO,95838,CA,4,2,225000"
"8209 RIVALLO WAY,SACRAMENTO,95829,CA,4,3,228750"
"8637 PERIWINKLE CIR,ELK GROVE,95624,CA,3,2,229000"
"3425 MEADOW WAY,ROCKLIN,95677,CA,3,2,230095"
"107 JARVIS CIR,SACRAMENTO,95834,CA,5,3,232500"
"2319 THORES ST,RANCHO CORDOVA,95670,CA,3,2,233000"
"8935 MOUNTAIN HOME CT,ELK GROVE,95624,CA,4,2,233500"
"2566 SERENATA WAY,SACRAMENTO,95835,CA,3,2,239000"
"4085 COUNTRY DR,ANTELOPE,95843,CA,4,3,240000"
"9297 TROUT WAY,ELK GROVE,95624,CA,4,2,240000"
"7 ARCHIBALD CT,SACRAMENTO,95823,CA,3,2,240971"
"11130 EEL RIVER CT,RANCHO CORDOVA,95670,CA,2,2,242000"
"8323 REDBANK WAY,SACRAMENTO,95829,CA,3,2,243450"
"16 BRONCO CREEK CT,SACRAMENTO,95835,CA,4,2,243500"
"8316 NORTHAM DR,ANTELOPE,95843,CA,3,2,246544"
"4240 WINJE DR,ANTELOPE,95843,CA,4,2,246750"
"3569 SODA WAY,SACRAMENTO,95834,CA,0,0,247000"
"5118 ROBANDER ST,CARMICHAEL,95608,CA,3,2,247000"
"5976 KYLENCH CT,CITRUS HEIGHTS,95621,CA,3,2,249000"
"9247 DELAIR WAY,ELK GROVE,95758,CA,4,3,249000"
"9054 DESCENDANT DR,ELK GROVE,95758,CA,3,2,250000"
"3450 WHITNOR CT,SACRAMENTO,95821,CA,3,2,250000"
"6288 LONETREE BLVD,ROCKLIN,95765,CA,0,0,250000"
"9355 MATADOR WAY,SACRAMENTO,95826,CA,4,2,252000"
"8671 SUMMER SUN WAY,ELK GROVE,95624,CA,3,2,255000"
"1890 GENEVA PL,SACRAMENTO,95825,CA,3,1,255000"
"1813 AVENIDA MARTINA,ROSEVILLE,95747,CA,3,2,255000"
"191 BARNHART CIR,SACRAMENTO,95835,CA,4,2,257200"
"6221 GREEN TOP WAY,ORANGEVALE,95662,CA,3,2,260000"
"2298 PRIMROSE LN,LINCOLN,95648,CA,3,2,260000"
"5635 LOS PUEBLOS WAY,SACRAMENTO,95835,CA,3,2,263500"
"10165 LOFTON WAY,ELK GROVE,95757,CA,3,2,266510"
"1251 GREEN RAVINE DR,LINCOLN,95648,CA,4,2,267750"
"6001 SHOO FLY RD,PLACERVILLE,95667,CA,0,0,270000"
"3040 PARKHAM DR,ROSEVILLE,95747,CA,0,0,271000"
"2674 TAM O SHANTER DR,EL DORADO HILLS,95762,CA,4,2,272700"
"6007 MARYBELLE LN,SHINGLE SPRINGS,95682,CA,0,0,275000"
